"","Plot","Yr","LAT","LON","ELEV","Common.Name","biomass.Mg.ha.dead","biomass.Mg.ha.live","standingdead_C_Mg_ha","livetree_C_Mg_ha","carbonratio","BGtree_C_Mg_ha","foresttype","standingdead_C_gm2","livetree_C_gm2","BGtree_C_gm2","total_treeC_gm2","NPP_C_gm2y","Year_start_NPP","Year_end_NPP"
"21",69,2009,55.081839,-132.804055,300,"mountain hemlock",NA,6.00801095515814,NA,3.00400547757907,0.478,1.4359146182828,"alaska-yellow-cedar",NA,300.400547757907,143.59146182828,443.992009586186,NA,NA,NA
"22",69,2020,55.081839,-132.804055,300,"Alaska yellow-cedar",175.499194659988,236.704712058347,87.749597329994,118.352356029173,0.478,56.5724261819449,"alaska-yellow-cedar",8774.9597329994,11835.2356029173,5657.24261819449,17492.4782211118,-272.850942784078,2009,2020
"23",69,2020,55.081839,-132.804055,300,"lodgepole pine",41.9100800192697,202.59598172866,20.9550400096349,101.29799086433,0.503,50.9528894047581,"alaska-yellow-cedar",2095.50400096349,10129.799086433,5095.28894047581,15225.0880269088,-108.405684042844,2009,2020
"24",69,2020,55.081839,-132.804055,300,"western redcedar",1.4168466558712,56.527629442276,0.708423327935599,28.263814721138,0.504,14.2449626194535,"alaska-yellow-cedar",70.8423327935599,2826.3814721138,1424.49626194535,4250.87773405915,156.973584480356,2009,2020
"25",69,2020,55.081839,-132.804055,300,"western hemlock",10.094442486172,35.2508037194736,5.04722124308599,17.6254018597368,0.507,8.93607874288655,"alaska-yellow-cedar",504.722124308599,1762.54018597368,893.607874288655,2656.14806026234,2.37719549143532,2009,2020
"26",69,2020,55.081839,-132.804055,300,"mountain hemlock",NA,6.02486364808363,NA,3.01243182404182,0.478,1.43994241189199,"alaska-yellow-cedar",NA,301.243182404182,143.994241189199,445.23742359338,0.113219455199442,2009,2020
"27",74,1999,59.321085,-151.80607,1100,"Sitka spruce",NA,847.347142832391,NA,423.673571416195,0.5,211.836785708098,"sitka-spruce",NA,42367.3571416195,21183.6785708098,63551.0357124293,NA,NA,NA
"28",74,2012,59.321085,-151.80607,1100,"Sitka spruce",NA,968.466739248818,NA,484.233369624409,0.5,242.116684812205,"sitka-spruce",NA,48423.3369624409,24211.6684812205,72635.0054436614,698.766902402466,1999,2012
"29",139,1995,57.729599,-134.95637,400,"western hemlock",NA,1294.39296561402,NA,647.196482807008,0.507,328.128616783153,"western-hemlock",NA,64719.6482807008,32812.8616783153,97532.5099590161,NA,NA,NA
"30",139,2010,57.729599,-134.95637,400,"western hemlock",52.1160768596648,1132.53302684161,26.0580384298324,566.266513420804,0.507,287.097122304348,"western-hemlock",2605.80384298324,56626.6513420804,28709.7122304348,85336.3635725152,-813.076425766723,1995,2010
